"coef","pvalue","tscore","edge","cor_coef","pvalue_adj"
-77.8462724992453,2.046917196437073e-5,-5.333590177985913,"RG_L_to_MFG_DPFC_L",-0.7435990690794005,"0.0913948528209153"
-537.9920404953118,0.00010887768892012377,-4.659051389371277,"Fx_ST_L_to_MFG_DPFC_L",-0.6968044300821,"0.1370314865901274"
-70.55736752656318,0.00016406600510816328,-4.494598526001416,"SS_L_to_MFG_DPFC_L",-0.6838201825351221,"0.1370314865901274"
-6.456970117880401,0.00026536166968541767,-4.301829693704405,"SLF_L_to_IFG_opercularis_L",-0.6677273098299785,"0.1370314865901274"
-3.1258822870494716,0.0003048784138402796,-4.246147613553773,"SS_L_to_Put_L",-0.6628962299329489,"0.1370314865901274"
-31.998039100088086,0.0004104404102729597,-4.126787215209951,"Put_L_to_IOG_L",-0.6522547635486396,"0.1370314865901274"
-72.98419595584916,0.00041557743811926616,-4.121789804929109,"PSMG_L_to_ALIC_L",-0.6518005877061482,"0.1370314865901274"
-320.08043105032766,0.0004284819536389586,-4.1095019353539195,"PSMG_L_to_MFG_L",-0.6506808498350684,"0.1370314865901274"
-988.9189754330827,0.0004345560997812518,-4.103844789070006,"CST_L_to_IFG_orbitalis_L",-0.6501639082583686,"0.1370314865901274"
-40.47677461117413,0.0004749026973063269,-4.06815098366096,"SMG_L_to_IFG_opercularis_L",-0.6468813481706541,"0.1370314865901274"
-361.88293726542446,0.0004968716668218416,-4.049961995001874,"PSMG_L_to_MFG_DPFC_L",-0.6451946469112141,"0.1370314865901274"
-12.391298312010951,0.0005170080092958951,-4.033978124656143,"SLF_L_to_IFG_triangularis_L",-0.6437046009451705,"0.1370314865901274"
-169.94691008965015,0.0005247306643093332,-4.028011343078672,"SMG_L_to_IFG_triangularis_L",-0.6431464823573608,"0.1370314865901274"
-13.08129385287052,0.0005299584417781784,-4.0240214243425205,"SS_L_to_ALIC_L",-0.642772702019586,"0.1370314865901274"
-36.54727253940724,0.0005753380335874489,-3.990941664741798,"PSTG_L_to_PrCG_L",-0.639656002335718,"0.1370314865901274"
-66.50302969357105,0.0006483470768731513,-3.942796023150578,"PSIG_L_to_Put_L",-0.6350628040736032,"0.1370314865901274"
-3463.344546339294,0.0006600240960833949,-3.935597595366917,"LG_L_to_SFG_pole_L",-0.6343702043883213,"0.1370314865901274"
-896.2942756074622,0.0006700845937445021,-3.9294960601191713,"GCC_L_to_MTG_L_pole",-0.6337819438904192,"0.1370314865901274"
-14.221711372879131,0.0006801355003089192,-3.9234902025955964,"SMG_L_to_PrCG_L",-0.633201831909628,"0.1370314865901274"
-35.256801943372935,0.0007240288039487978,-3.898251431405254,"PTR_L_to_ALIC_L",-0.6307522872962941,"0.1370314865901274"
-3595.027630151789,0.0007348168356001121,-3.8922800891478833,"PTR_L_to_SFG_pole_L",-0.6301699645095177,"0.1370314865901274"
-53.21989496531362,0.0007884172502213078,-3.863840409209805,"SFO_L_to_Caud_L",-0.6273818923170701,"0.1370314865901274"
-2472.0528360154563,0.0007889237552124836,-3.863580881482747,"PCT_L_to_Caud_L",-0.6273563378268934,"0.1370314865901274"
-314.6664774173812,0.0008006247889338686,-3.8576307828642684,"LV_occipital_L_to_PLIC_L",-0.6267699030508149,"0.1370314865901274"
-8.035311585154373,0.0008237975293534101,-3.8460965540751375,"Put_L_to_LG_L",-0.6256300626213095,"0.1370314865901274"
-244.49021678989962,0.0008421409364415328,-3.837191105063928,"ALIC_L_to_MOG_L",-0.6247472543954399,"0.1370314865901274"
-42.2697759268465,0.0008890054573636799,-3.815280948921379,"CP_L_to_LG_L",-0.6225650364691885,"0.1370314865901274"
-51.9649529179459,0.0009017847043857915,-3.809504090452844,"PSTG_L_to_IFG_opercularis_L",-0.6219872378626777,"0.1370314865901274"
-161.27972833787393,0.000912366490535476,-3.804781398238599,"PSTG_L_to_SCR_L",-0.6215141203644581,"0.1370314865901274"
-25411.87524961301,0.0009934729090344885,-3.770281298035526,"LV_frontal_L_to_AG_L",-0.6180372041779592,"0.1370314865901274"
-18.556504953615455,0.0010379797203873373,-3.7525116675902215,"PSMG_L_to_Put_L",-0.6162321024629558,"0.1370314865901274"
-1757.2463689008623,0.0010411795817543458,-3.7512631830655163,"Fx_L_to_TAP_L",-0.6161049103716456,"0.1370314865901274"
-31.012254777797803,0.0011306910206284454,-3.7177887610240905,"PSMG_L_to_PrCG_L",-0.6126766075111334,"0.1370314865901274"
-8.407079202048875,0.0011528307414515198,-3.70991198532083,"PrCG_L_to_MFG_L",-0.6118648353031074,"0.1370314865901274"
-189.1120864924954,0.0011964888599819842,-3.6948063494000425,"PSIG_L_to_ALIC_L",-0.6103026390927891,"0.1370314865901274"
-15.744704883534531,0.0012038316346609306,-3.692319140099033,"PSMG_L_to_ACR_L",-0.6100447314525466,"0.1370314865901274"
-24.007479255906297,0.0012332858551514893,-3.682489862284812,"SLF_L_to_MFG_L",-0.6090235987260122,"0.1370314865901274"
-59.26012355236468,0.0012392337372236824,-3.6805330086387196,"PSIG_L_to_ACR_L",-0.6088199450447711,"0.1370314865901274"
-2.7707777789548587,0.0013964174233331182,-3.6319104461447127,"PTR_L_to_Put_L",-0.6037208832759818,"0.1370314865901274"
-11119.92134513158,0.0013978747480046859,-3.6314852852251285,"CST_L_to_LFOG_L",-0.6036759661282036,"0.1370314865901274"
-193.91450919968585,0.001412030267933388,-3.627378037181592,"PCR_L_to_IFG_opercularis_L",-0.6032417498881464,"0.1370314865901274"
-244.2735658283641,0.001442998759345855,-3.6185316275697703,"ALIC_L_to_Amyg_L",-0.6023046870055051,"0.1370314865901274"
-14.644545084239075,0.0015400619746822027,-3.5919646688159124,"PSMG_L_to_IFG_orbitalis_L",-0.5994755346352839,"0.1370314865901274"
